Generation,Best Eval
0,0.001900014467537403
1,0.002100015990436077
2,0.002100015990436077
3,0.002100015990436077
4,0.00200001522898674
5,0.00200001522898674
6,0.00200001522898674
7,0.00200001522898674
8,0.001800013706088066
9,0.00200001522898674
10,0.00200001522898674
11,0.00200001522898674
12,0.00209989957511425
13,0.002100015990436077
14,0.00200001522898674
15,0.001900014467537403
16,0.00200001522898674
17,0.001800013706088066
18,0.001900014467537403
19,0.001900014467537403
20,0.001900014467537403
21,0.001900014467537403
22,0.00200001522898674
23,0.001900014467537403
24,0.001800013706088066
25,0.001800013706088066
26,0.001900014467537403
27,0.003800028935074806
28,0.002100015990436077
29,0.001900014467537403
30,0.001800013706088066
31,0.002100015990436077
32,0.001900014467537403
33,0.00200001522898674
34,0.001900014467537403
35,0.003300025127828121
36,0.001900014467537403
37,0.001900014467537403
38,0.002100015990436077
39,0.001900014467537403
40,0.001999898813664913
41,0.001900014467537403
42,0.002700020559132099
43,0.001800013706088066
44,0.001800013706088066
45,0.001900014467537403
46,0.00200001522898674
47,0.0036999117583036423
48,0.00200001522898674
49,0.001800013706088066
50,0.001900014467537403
