Iteration,Best Eval
0,0.0039000296965241432
1,0.001800013706088066
2,0.001800013706088066
3,0.001800013706088066
4,0.001800013706088066
5,0.001800013706088066
6,0.001800013706088066
7,0.001800013706088066
8,0.001800013706088066
9,0.001800013706088066
10,0.001800013706088066
11,0.001800013706088066
12,0.001800013706088066
13,0.001800013706088066
14,0.001800013706088066
15,0.0017998972907662392
16,0.0017998972907662392
17,0.0017998972907662392
18,0.001700012944638729
19,0.001700012944638729
20,0.001700012944638729
21,0.001700012944638729
22,0.001700012944638729
23,0.001700012944638729
24,0.001700012944638729
25,0.001700012944638729
26,0.001700012944638729
27,0.001700012944638729
28,0.001700012944638729
29,0.001700012944638729
30,0.001700012944638729
31,0.001700012944638729
32,0.001700012944638729
33,0.001700012944638729
34,0.001700012944638729
35,0.001700012944638729
36,0.001700012944638729
37,0.001700012944638729
38,0.001700012944638729
39,0.001700012944638729
40,0.001700012944638729
41,0.001700012944638729
42,0.001700012944638729
43,0.001700012944638729
44,0.001700012944638729
45,0.001700012944638729
46,0.001700012944638729
47,0.001700012944638729
48,0.001700012944638729
49,0.001700012944638729
50,0.001700012944638729
51,0.001700012944638729
52,0.001700012944638729
53,0.001700012944638729
54,0.001700012944638729
55,0.001700012944638729
56,0.001700012944638729
57,0.001700012944638729
58,0.001700012944638729
59,0.001700012944638729
60,0.001700012944638729
61,0.001700012944638729
62,0.001700012944638729
63,0.001700012944638729
64,0.001700012944638729
65,0.001700012944638729
66,0.001700012944638729
67,0.001700012944638729
68,0.001700012944638729
69,0.001700012944638729
70,0.001700012944638729
71,0.001700012944638729
72,0.001700012944638729
73,0.001700012944638729
74,0.001700012944638729
75,0.001700012944638729
76,0.001700012944638729
77,0.001700012944638729
78,0.001700012944638729
79,0.001700012944638729
80,0.001700012944638729
81,0.001700012944638729
82,0.001700012944638729
83,0.001700012944638729
84,0.001700012944638729
85,0.001700012944638729
86,0.001700012944638729
87,0.001700012944638729
88,0.001700012944638729
89,0.001700012944638729
90,0.0016998965293169022
91,0.0016998965293169022
92,0.0016998965293169022
93,0.0016998965293169022
94,0.0016998965293169022
95,0.0016998965293169022
96,0.0016998965293169022
97,0.0016998965293169022
98,0.0016998965293169022
99,0.0016998965293169022
100,0.0016998965293169022
